['0'],679,668,668,667
['1'],662,648,648,600
['2'],621,926,926,898
['3'],670,287,287,287
['4'],609,284,284,288
['5'],599,298,298,299
['6'],694,299,299,298
['7'],717,299,299,297
['8'],744,494,494,494
['9'],892,463,463,464
['10'],954,393,393,390
['11'],1006,395,395,395
['12'],956,394,394,387
['13'],978,960,960,970
['14'],1023,395,395,395
['15'],1051,297,297,293
['16'],1033,293,293,288
['17'],1104,298,298,294
['18'],1067,299,299,298
['19'],1173,398,398,397
['20'],1246,495,495,495
['21'],1126,494,494,490
['22'],1079,485,485,488
['23'],1134,498,498,499
['24'],1053,937,937,928
['25'],1118,497,497,495
['26'],1069,494,494,493
['27'],1046,398,398,396
['28'],935,353,353,344
['29'],955,296,296,292
['30'],835,393,393,390
['31'],662,495,495,492
['32'],501,497,497,496
['33'],374,498,498,497
['34'],362,499,499,498
['35'],299,976,976,967
['36'],421,490,490,490
['37'],522,495,495,496
['38'],497,498,498,496
['39'],358,455,455,482
['40'],443,399,399,399
['41'],502,300,300,299
['42'],563,298,298,367
['43'],598,398,398,396
['44'],758,398,398,397
['45'],807,397,397,396
['46'],707,975,975,967
['47'],669,460,460,443
['48'],793,479,479,477
['49'],779,487,487,480
['50'],626,495,495,484
['51'],647,496,496,490
['52'],919,481,481,488
['53'],897,493,493,491
['54'],735,398,398,396
['55'],735,396,396,383
['56'],735,395,395,393
['57'],1360,992,992,972
['58'],1300,294,294,299
['59'],1237,297,297,299
['60'],1375,293,293,296
['61'],1504,295,295,292
['62'],1326,292,292,277
['63'],1238,298,298,295
['64'],1437,291,291,287
['65'],1482,480,480,472
['66'],1486,429,429,432
['67'],1301,434,434,421
['68'],1062,954,954,840
['69'],1292,394,394,394
['70'],1093,396,396,394
['71'],1094,461,461,451
['72'],1076,415,415,446
['73'],1086,483,483,486
['74'],1086,490,490,482
['75'],1102,588,588,592
['76'],1090,681,681,673
['77'],1082,679,679,672
['78'],1071,676,676,661
['79'],879,994,994,1016
['80'],884,759,759,747
['81'],840,845,845,849
['82'],789,854,854,797
['83'],774,700,700,618
['84'],746,466,466,416
['85'],682,663,663,579
['86'],681,929,929,904
['87'],659,922,922,921
['88'],757,964,964,947
['89'],552,895,895,839
['90'],463,1068,1068,1034
['91'],513,891,891,895
['92'],460,822,822,827
['93'],398,812,812,876
['94'],398,949,949,1012
['95'],300,1062,1062,1046
['96'],300,1044,1044,1026
['97'],299,935,935,908
['98'],296,929,929,941
['99'],299,926,926,893
['100'],291,969,969,940
['101'],290,1092,1092,1090
['102'],299,992,992,944
['103'],298,1013,1013,987
['104'],299,1017,1017,939
['105'],495,1060,1060,1011
['106'],416,1079,1079,1040
['107'],392,1181,1181,1039
['108'],393,1092,1092,991
['109'],389,1135,1135,1072
['110'],397,1029,1029,986
['111'],296,1070,1070,1015
['112'],292,524,524,551
['113'],298,1161,1161,1132
['114'],299,1025,1025,1056
['115'],457,960,960,976
['116'],495,983,983,926
['117'],493,882,882,896
['118'],485,695,695,770
['119'],499,476,476,456
['120'],494,671,671,661
['121'],496,661,661,644
['122'],399,1031,1031,992
['123'],357,919,919,932
['124'],358,997,997,964
['125'],391,971,971,956
['126'],497,971,971,955
['127'],496,870,870,848
['128'],500,856,856,748
['129'],499,896,896,808
['130'],497,865,865,786
['131'],497,886,886,841
['132'],498,867,867,871
['133'],467,812,812,832
['134'],400,592,592,586
['135'],300,1040,1040,1068
['136'],391,497,497,492
['137'],399,494,494,492
['138'],398,493,493,489
['139'],397,469,469,420
['140'],469,599,599,494
['141'],486,582,582,559
['142'],493,572,572,589
['143'],494,655,655,623
['144'],497,763,763,713
['145'],494,622,622,511
['146'],491,1010,1010,1053
['147'],399,548,548,644
['148'],397,1033,1033,1002
['149'],394,990,990,951
['150'],299,1069,1069,963
['151'],298,1087,1087,1033
['152'],292,1186,1186,1127
['153'],296,1039,1039,1033
['154'],292,1090,1090,1052
['155'],298,1046,1046,984
['156'],290,1060,1060,1020
['157'],470,1023,1023,1021
['158'],434,963,963,904
['159'],465,951,951,951
['160'],397,1060,1060,1044
['161'],396,1025,1025,992
['162'],480,1017,1017,1019
['163'],488,761,761,776
['164'],486,501,501,517
['165'],488,574,574,511
['166'],596,568,568,585
['167'],683,746,746,694
['168'],682,1072,1072,1020
['169'],667,814,814,801
['170'],767,763,763,743
['171'],854,753,753,749
['172'],856,716,716,709
['173'],680,681,681,678
['174'],333,688,688,685
['175'],650,693,693,691
['176'],914,685,685,685
['177'],930,588,588,574
['178'],964,590,590,583
['179'],894,1051,1051,1056
['180'],929,492,492,470
['181'],876,395,395,393
['182'],932,398,398,397
['183'],1138,399,399,396
['184'],1098,398,398,398
['185'],1065,396,396,394
['186'],993,299,299,298
['187'],973,396,396,390
['188'],977,394,394,389
['189'],1001,391,391,393
['190'],1097,1014,1014,918
['191'],1158,465,465,456
['192'],1092,475,475,460
['193'],1173,465,465,462
['194'],1215,497,497,485
['195'],1256,497,497,497
['196'],1143,495,495,476
['197'],1129,460,460,463
['198'],1049,474,474,476
['199'],1073,389,389,394
['200'],1075,397,397,395
['201'],995,917,917,943
['202'],1038,397,397,394
['203'],919,393,393,389
['204'],650,327,327,340
['205'],353,375,375,379
['206'],712,368,368,349
['207'],747,268,268,256
['208'],1006,166,166,143
['209'],951,128,128,169
['210'],971,139,139,187
['211'],961,26,26,116
['212'],882,872,872,916
['213'],878,92,92,109
['214'],939,93,93,139
['215'],914,100,100,87
['216'],892,38,38,93
['217'],925,141,141,183
['218'],871,118,118,99
['219'],593,214,214,206
['220'],523,294,294,259
['221'],583,233,233,244
['222'],594,184,184,186
['223'],563,680,680,608
['224'],664,803,803,798
